District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Tolleson Union High School District,2017,Maricopa,2,T-3,8,"19, 27, and 29",Large,City,"11,304",6,53.3%,53.2%,10.7%,11.8%,5.9%,4.7%,7.8%,5.8%,$701,$763,Low,81,67,Low,$6.68,$6.41,Comparable,116,148,Very Low,Low,$2.62,$2.98,Low,Low,$5.17,$4.28,Very High,"$1,741","$1,207",Very High,Very High,"$3,489","$4,035",$701,$763,$774,$941,$384,$348,$311,$383,$508,$622,$381,$501,"$6,548","$7,593",$343,$761,$776,$527,$57,$295,$28,$145,"$1,204","$1,728","$7,752","$9,321",23%,33%,25%,27%,23%,34%,91%,93%,90%,87%,20%,16%,11%,11%,20.5,21.7,"$45,670","$49,138","$6,151","$8,138",7.1,10.3,39%,22%,$817,$896,"$4,092","$3,579","$3,772","$4,613","$8,681","$9,088","$5,299","$5,436",$245,$242,$49,$47,$908,$943,$14,$98,$0,3 of 10,$0,0 of 10,$0,2 of 10,"$1,147",10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"14.4%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Toltec Elementary School District,2017,Pinal,9,T-6,17,11,Medium,Rural,963,2,53.7%,50.0%,12.0%,10.9%,6.6%,3.2%,7.4%,6.2%,$928,"$1,060",Low,64,58,Low,$4.78,$6.71,Very Low,177,153,Very High,Low,$2.45,$3.04,Very Low,Very Low,$3.48,$3.94,Low,NR,$728,NR,No measure,"$4,158","$4,115",$928,"$1,060",$847,"$1,004",$511,$571,$245,$427,$573,$528,$477,$463,"$7,739","$8,168",$177,$917,$2,$314,$87,$77,$58,$148,$324,"$1,456","$8,063","$9,624",20%,37%,21%,38%,40%,62%,94%,94%,N/A,N/A,21%,19%,15%,14%,NR,13.3,NR,"$44,961",NR,"$4,257",10.1,12.6,21%,11%,"$1,135","$1,753","$4,784","$4,842","$2,991","$2,654","$8,910","$9,249","$5,794","$5,748",$248,$239,$46,$44,"$1,172","$2,064",$45,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$471,8 of 10,High,Large decrease,High,Isolated,Moderate,No election held,No Measure,"8.1%, Increasing",Low,Less than 1 year,High,Noncompliant,High
Tombstone Unified School District,2017,Cochise,5,T-9,6,14,Medium,Rural,766,3,44.9%,50.2%,18.6%,10.1%,6.3%,10.3%,7.3%,2.5%,"$1,714","$1,102",Very High,41,53,Very High,$3.08,$5.20,Very Low,302,263,High,Very Low,$3.52,$3.54,Comparable,Comparable,$2.18,$2.60,Very Low,"$1,104","$1,363",Very Low,Very Low,"$4,148","$4,541","$1,714","$1,102",$931,"$1,289",$580,$396,$955,$488,$672,$632,$232,$346,"$9,232","$8,794",$260,$764,$230,$536,$25,$221,$0,$78,$515,"$1,599","$9,747","$10,393",27%,34%,29%,31%,36%,45%,94%,94%,92%,84%,32%,32%,17%,14%,17.4,16.4,"$38,626","$44,227","$4,288","$5,336",10.9,12.6,9%,17%,"$1,412","$3,999","$4,998","$4,066","$4,236","$4,210","$10,646","$12,275","$6,829","$5,929",$260,$243,$56,$49,"$1,614","$1,751",$51,$138,$0,1 of 29,$0,0 of 29,$61,14 of 29,$0,20 of 29,Moderate,Large decrease,High,Isolated,Moderate,No election held,No Measure,"5.2%, Increasing",Low,Less than 1 year,High,Marginally compliant,Moderate
Tonto Basin Elementary School District,2017,Gila,11,T-11,19,6,Very small,Rural,63,1,43.2%,50.5%,25.4%,12.1%,8.9%,5.6%,2.5%,2.3%,"$6,087","$3,137",No Measure,18,32,No Measure,$10.83,$6.96,No Measure,267,412,No Measure,No Measure,$7.17,$5.79,No Measure,No Measure,$1.98,$1.87,No Measure,"$3,671","$1,459",No Measure,No Measure,"$10,348","$8,613","$6,087","$3,137","$2,891","$2,644","$2,122","$1,000","$1,334",$961,$603,$601,$548,$498,"$23,933","$17,454",$313,"$1,161","$2,303",$735,$5,$31,$91,$90,"$2,712","$2,017","$26,645","$19,471",61%,35%,56%,36%,83%,52%,94%,93%,N/A,N/A,34%,34%,12%,15%,9.0,14.8,"$50,733","$46,717","$1,899","$4,152",14.9,11.3,0%,16%,"$2,690","$2,908","$6,723","$5,692","$12,571","$13,343","$21,984","$21,943","$9,660","$9,932",$317,$315,$49,$57,"$3,015","$2,701",$355,$184,$0,0 of 54,"$8,690",44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"9.9%, Varying",Low,1 to 3 years,Moderate,Noncompliant,High
Topock Elementary School District,2017,Mohave,11,T-11,17,5,Very small,Rural,97,1,46.1%,50.5%,30.9%,9.4%,6.8%,4.1%,1.2%,1.5%,"$3,302","$3,137",No Measure,32,32,No Measure,$3.71,$6.96,No Measure,270,412,No Measure,No Measure,$3.06,$5.79,No Measure,No Measure,$1.59,$1.87,No Measure,$364,"$1,459",No Measure,No Measure,"$4,923","$8,613","$3,302","$3,137","$1,002","$2,644",$721,"$1,000",$439,$961,$125,$601,$162,$498,"$10,674","$17,454",$542,"$1,161",$613,$735,$0,$31,$676,$90,"$1,831","$2,017","$12,505","$19,471",54%,37%,45%,38%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,94%,94%,N/A,N/A,19%,19%,11%,14%,24.3,13.3,"$60,465","$44,961","$9,921","$4,257",12.3,12.6,0%,11%,"$1,626","$2,908","$3,681","$5,692","$7,376","$13,343","$12,683","$21,943","$7,456","$9,932",$294,$315,$57,$57,"$2,341","$2,701",$205,$184,$0,0 of 54,$515,44 of 54,$102,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"3.9%, Increasing",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
Tuba City Unified School District,2017,Coconino,5,T-9,6,7,Medium,Town,"1,683",6,42.2%,50.2%,11.8%,21.4%,5.4%,6.4%,8.9%,3.9%,"$1,488","$1,102",Very High,39,53,Very High,$7.98,$5.20,Very High,340,263,Very High,Very High,$3.51,$3.54,Comparable,Comparable,$2.94,$2.60,High,"$1,827","$1,363",Very High,Very High,"$5,356","$4,541","$1,488","$1,102","$2,716","$1,289",$684,$396,$805,$488,"$1,133",$632,$497,$346,"$12,679","$8,794","$7,409",$764,$427,$536,$111,$221,$13,$78,"$7,960","$1,599","$20,639","$10,393",26%,34%,13%,31%,24%,45%,92%,94%,66%,84%,31%,32%,14%,14%,14.6,16.4,"$45,516","$44,227","$4,970","$5,336",13.8,12.6,9%,17%,"$9,188","$3,999","$4,999","$4,066","$2,216","$4,210","$16,403","$12,275","$5,875","$5,929",$237,$243,$46,$49,"$2,975","$1,751",$15,$138,$0,1 of 29,$0,0 of 29,"$6,228",14 of 29,$310,20 of 29,Low,Increase,Low,No overspending,Low,No election held,No Measure,Impact Aid Fund reserve,Low,More than 3 years,Low,Marginally compliant,Moderate
Tucson Unified School District,2017,Pima,1,T-5,3,"2, 3, 4, 9, and 10",Very large,City,"44,948",86,50.9%,56.4%,11.0%,12.3%,4.5%,5.5%,9.0%,6.8%,"$1,006",$680,Very High,50,80,Very High,$6.17,$6.15,Comparable,182,147,Very High,High,$2.98,$2.79,High,High,$4.79,$4.15,Very High,"$2,368","$1,809",Very High,Very High,"$4,647","$4,386","$1,006",$680,"$1,122",$877,$408,$323,$498,$341,$824,$679,$625,$358,"$9,130","$7,644",$78,$651,$364,$393,$200,$223,$136,$209,$778,"$1,476","$9,908","$9,120",27%,38%,29%,37%,39%,52%,92%,94%,85%,86%,28%,24%,14%,14%,17.7,18.8,"$50,276","$45,975","$7,879","$5,671",12.6,11.8,16%,16%,"$1,593",$885,"$3,670","$3,394","$4,692","$5,302","$9,955","$9,581","$5,409","$5,387",$242,$241,$46,$46,"$1,553",$901,$84,$98,"$1,411",4 of 10,$0,0 of 10,$28,2 of 10,$509,10 of 10,Low,Moderate decrease,Moderate,No overspending,Low,Voter-rejected,High,"3.2%, Decreasing",Low,More than 3 years,Low,Compliant,Low
Union Elementary School District,2017,Maricopa,8,T-1,13,19,Medium,City,"1,828",3,53.0%,51.3%,12.2%,8.4%,9.1%,3.8%,7.3%,6.2%,$873,$974,Low,86,68,Low,$5.48,$6.31,Low,111,147,Very Low,Very Low,$2.53,$2.75,Low,Low,$9.01,$6.81,Very High,"$1,789",$942,Very High,Very High,"$3,808","$4,164",$873,$974,$607,$909,$655,$640,$271,$327,$526,$626,$446,$559,"$7,186","$8,199",$713,$924,$285,$582,$64,$255,$1,$146,"$1,063","$1,907","$8,249","$10,106",24%,32%,25%,32%,31%,46%,94%,94%,N/A,N/A,21%,25%,12%,12%,20.5,19.1,"$44,755","$43,084","$4,988","$4,885",3.7,8.3,66%,30%,"$1,402","$1,848","$4,683","$3,857","$2,142","$4,627","$8,227","$10,332","$5,303","$5,145",$246,$236,$44,$43,"$1,402","$1,915",$17,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,$892,19 of 19,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"6.8%, Increasing",Low,More than 3 years,Low,Compliant,Low
Vail Unified School District,2017,Pima,2,T-4,1,"2, 10, and 14",Large,City,"12,335",19,51.4%,53.2%,11.0%,12.3%,3.0%,6.2%,8.5%,7.6%,$818,$763,High,56,67,High,$7.70,$6.41,Very High,119,148,Very Low,High,$2.93,$2.98,Comparable,Comparable,$3.38,$3.61,Low,$880,"$1,278",Very Low,Very Low,"$3,805","$4,035",$818,$763,$913,$941,$221,$348,$458,$383,$630,$622,$562,$501,"$7,407","$7,593",$694,$761,$343,$527,$234,$295,$351,$145,"$1,622","$1,728","$9,029","$9,321",64%,59%,59%,57%,82%,75%,95%,95%,94%,93%,8%,7%,11%,11%,18.8,18.3,"$38,626","$44,253","$6,213","$5,557",8.9,11.2,23%,21%,$413,$896,"$4,539","$3,579","$3,386","$4,613","$8,338","$9,088","$5,505","$5,436",$241,$242,$45,$47,$413,$943,$136,$98,$0,3 of 10,$0,0 of 10,$63,2 of 10,$933,10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"4.1%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Valentine Elementary School District,2017,Mohave,11,T-11,17,5,Very small,Rural,96,1,57.3%,50.5%,25.5%,9.6%,0.0%,3.5%,1.2%,2.9%,"$1,985","$3,137",No Measure,48,32,No Measure,$5.37,$6.96,No Measure,139,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,NR,$1.87,NR,NR,"$1,459",NR,No Measure,"$4,467","$8,613","$1,985","$3,137",$748,"$2,644",$0,"$1,000",$275,$961,$92,$601,$227,$498,"$7,794","$17,454",$357,"$1,161",$625,$735,$0,$31,$0,$90,$982,"$2,017","$8,776","$19,471",7%,37%,13%,38%,7%,62%,91%,94%,N/A,N/A,22%,19%,15%,14%,19.3,13.3,"$46,903","$44,961","$3,185","$4,257",15.2,12.6,0%,11%,"$5,699","$2,908","$5,276","$5,692","$1,765","$13,343","$12,740","$21,943","$6,255","$9,932",$253,$315,$35,$57,$645,"$2,701",$4,$184,$0,0 of 54,"$2,013",44 of 54,"$5,411",5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"4%, Varying",Low,More than 3 years,Low,Not assessed,No Measure
Valley Union High School District,2017,Cochise,11,T-11,11,14,Very small,Rural,111,1,53.5%,50.5%,14.1%,15.8%,3.9%,10.9%,0.9%,0.9%,"$2,067","$3,137",No Measure,45,32,No Measure,$4.32,$6.96,No Measure,538,412,No Measure,No Measure,$5.50,$5.79,No Measure,No Measure,$2.02,$1.87,No Measure,"$3,850","$1,459",No Measure,No Measure,"$7,859","$8,613","$2,067","$3,137","$2,324","$2,644",$575,"$1,000","$1,600",$961,$138,$601,$130,$498,"$14,693","$17,454",$114,"$1,161",$697,$735,$0,$31,$0,$90,$811,"$2,017","$15,504","$19,471",25%,17%,18%,18%,26%,21%,85%,91%,89%,84%,22%,26%,10%,11%,7.9,14.8,"$37,274","$43,276","$4,076","$5,503",8.1,11.5,32%,19%,$969,"$2,908","$3,312","$5,692","$14,067","$13,343","$18,348","$21,943","$7,901","$9,932",$227,$315,$74,$57,"$1,149","$2,701",$204,$184,$0,0 of 54,"$3,192",44 of 54,$0,5 of 54,"$1,010",7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"25%, Increasing",Low,More than 3 years,Low,Compliant,Low
Vernon Elementary School District,2017,Apache,11,T-11,19,7,Very small,Rural,81,1,46.5%,50.5%,17.8%,9.3%,2.0%,8.6%,11.1%,4.7%,"$3,095","$3,137",No Measure,18,32,No Measure,$5.60,$6.96,No Measure,289,412,No Measure,No Measure,$2.51,$5.79,No Measure,No Measure,$1.32,$1.87,No Measure,$990,"$1,459",No Measure,No Measure,"$8,085","$8,613","$3,095","$3,137","$1,618","$2,644",$351,"$1,000","$1,496",$961,"$1,916",$601,$811,$498,"$17,372","$17,454",$0,"$1,161",$95,$735,$0,$31,$0,$90,$95,"$2,017","$17,467","$19,471",24%,35%,46%,36%,85%,52%,92%,93%,N/A,N/A,30%,34%,12%,15%,10.2,14.8,"$43,781","$46,717","$4,094","$4,152",10.7,11.3,33%,16%,"$2,442","$2,908","$9,168","$5,692","$6,396","$13,343","$18,006","$21,943","$11,307","$9,932",$322,$315,$63,$57,"$2,624","$2,701",$52,$184,$0,0 of 54,$615,44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Small school adjustment,Low,Isolated,Moderate,No election held,No Measure,"3.4%, Increasing",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
Washington Elementary School District,2017,Maricopa,7,T-3,14,"20, 24, 28, and 30",Very large,City,"22,126",32,53.7%,54.1%,8.3%,10.0%,8.3%,4.4%,9.9%,5.4%,$690,$796,Low,78,75,Low,$6.26,$6.23,Comparable,132,135,Comparable,Comparable,$2.71,$2.77,Comparable,Comparable,$4.81,$4.28,High,"$1,438","$1,207",Very High,Very High,"$4,455","$4,304",$690,$796,$829,$837,$686,$566,$367,$303,$819,$671,$445,$511,"$8,291","$7,988",$677,$499,$308,$357,$179,$361,$168,$168,"$1,332","$1,385","$9,623","$9,373",34%,29%,35%,27%,51%,40%,94%,94%,N/A,N/A,31%,35%,14%,12%,16.9,18.1,"$43,901","$45,606","$5,280","$5,189",10.4,8.5,27%,32%,"$1,819","$1,522","$4,441","$4,236","$3,460","$3,488","$9,720","$9,246","$5,275","$5,133",$241,$235,$43,$44,"$1,878","$1,543",$42,$45,$271,4 of 10,$0,0 of 10,$0,2 of 10,"$1,447",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"7.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Wellton Elementary School District,2017,Yuma,10,T-9,19,13,Small,Rural,205,1,51.1%,52.5%,11.7%,15.5%,5.9%,5.3%,7.7%,2.8%,"$1,160","$1,231",Low,58,54,Low,$5.15,$6.81,Very Low,297,153,Very High,Low,$2.98,$3.41,Low,Low,$2.88,$2.60,High,"$1,673","$1,363",Very High,Very High,"$5,044","$4,993","$1,160","$1,231","$1,528","$1,125",$586,$549,$523,$575,$757,$606,$275,$397,"$9,873","$9,476",$237,$194,$485,$329,$8,$167,$26,$91,$756,$781,"$10,629","$10,257",37%,35%,30%,36%,46%,52%,94%,93%,N/A,N/A,32%,34%,13%,15%,20.5,14.8,"$57,005","$46,717","$8,067","$4,152",11.4,11.3,24%,16%,"$2,757","$2,395","$5,421","$4,806","$3,639","$4,236","$11,817","$11,437","$7,278","$6,815",$289,$269,$53,$50,"$2,931","$1,792",$5,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,$0,6 of 12,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"10.9%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Wenden Elementary School District,2017,La Paz,11,T-11,20,5,Very small,Rural,78,1,40.2%,50.5%,22.4%,18.4%,9.2%,3.4%,1.5%,4.9%,"$3,502","$3,137",No Measure,26,32,No Measure,$8.84,$6.96,No Measure,327,412,No Measure,No Measure,$4.74,$5.79,No Measure,No Measure,$4.09,$1.87,No Measure,"$1,564","$1,459",No Measure,No Measure,"$6,306","$8,613","$3,502","$3,137","$2,890","$2,644","$1,443","$1,000",$540,$961,$226,$601,$766,$498,"$15,673","$17,454",$69,"$1,161",$561,$735,$0,$31,$14,$90,$644,"$2,017","$16,317","$19,471",10%,25%,17%,26%,50%,30%,96%,93%,N/A,N/A,48%,44%,14%,15%,15.6,11.2,"$40,747","$48,132","$6,933","$4,375",14.8,11.5,0%,6%,"$1,744","$2,908","$4,682","$5,692","$12,148","$13,343","$18,574","$21,943","$7,029","$9,932",$277,$315,$54,$57,"$2,365","$2,701",$16,$184,$0,0 of 54,"$5,938",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,Voter-rejected,High,"24.1%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Whiteriver Unified School District,2017,Navajo,4,T-6,7,7,Medium-large,Town,"2,139",5,49.0%,52.0%,10.7%,13.2%,6.1%,5.3%,7.5%,8.2%,"$1,073",$844,Very High,67,69,Very High,$4.20,$5.36,Very Low,317,190,Very High,Low,$2.65,$3.00,Low,Low,$3.31,$3.94,Very Low,$871,$728,Very High,Comparable,"$4,913","$4,032","$1,073",$844,"$1,329",$987,$615,$409,$531,$414,$748,$607,$826,$481,"$10,035","$7,774","$1,701",$346,$445,$390,$174,$164,$191,$77,"$2,511",$977,"$12,546","$8,751",10%,18%,11%,17%,11%,25%,90%,92%,54%,79%,42%,43%,14%,12%,16.6,15.3,"$48,008","$48,972","$5,068","$4,489",12.4,12.6,26%,16%,"$8,194","$2,260","$5,831","$4,086",$757,"$3,104","$14,782","$9,450","$5,414","$5,373",$233,$233,$46,$46,"$2,143","$1,374",$6,$56,$0,1 of 18,$0,0 of 18,"$6,283",7 of 18,$0,14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"8.2%, Increasing",Low,More than 3 years,Low,Compliant,Low
Wickenburg Unified School District,2017,Maricopa,5,T-9,5,"1, 13, and 22",Medium,Rural,"1,432",4,47.0%,50.2%,11.0%,16.7%,5.9%,7.1%,4.9%,7.4%,$935,"$1,102",Very Low,55,53,Very Low,$4.73,$5.20,Low,299,263,High,Low,$3.43,$3.54,Comparable,Comparable,$3.01,$2.60,Very High,"$1,506","$1,363",High,High,"$3,992","$4,541",$935,"$1,102","$1,414","$1,289",$498,$396,$601,$488,$418,$632,$633,$346,"$8,491","$8,794","$1,819",$764,"$1,825",$536,$288,$221,$108,$78,"$4,040","$1,599","$12,531","$10,393",30%,31%,25%,31%,41%,44%,93%,93%,80%,85%,26%,24%,11%,13%,18.4,17.0,"$45,020","$44,553","$6,350","$5,512",10.3,12.8,32%,16%,"$1,106","$3,999","$1,757","$4,066","$7,412","$4,210","$10,275","$12,275","$4,409","$5,929",$186,$243,$47,$49,"$1,188","$1,751",$257,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$1,791",20 of 29,Moderate,Moderate decrease,Moderate,Operating and capital,High,Voter-approved,Low,"2.4%, Decreasing",Moderate,More than 3 years,Low,Compliant,Low
Willcox Unified School District,2017,Cochise,5,T-10,6,14,Medium,Rural,"1,101",3,56.8%,50.2%,14.1%,10.0%,4.7%,4.9%,6.1%,3.4%,"$1,118","$1,102",Comparable,47,53,Comparable,$3.19,$5.20,Very Low,248,263,Low,Very Low,$3.33,$3.54,Low,Low,$2.30,$1.93,Very High,"$1,436","$1,267",High,Very High,"$4,500","$4,541","$1,118","$1,102",$792,"$1,289",$370,$396,$389,$488,$486,$632,$266,$346,"$7,921","$8,794",$42,$764,$327,$536,$410,$221,$1,$78,$780,"$1,599","$8,701","$10,393",37%,34%,32%,31%,48%,45%,98%,94%,82%,84%,29%,32%,NR,14%,15.5,16.4,"$39,910","$44,227","$4,833","$5,336",13.1,12.6,11%,17%,"$1,243","$3,999","$4,130","$4,066","$4,907","$4,210","$10,280","$12,275","$5,980","$5,929",$242,$243,$49,$49,"$1,266","$1,751",$47,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$1,596",20 of 29,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.6%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Williams Unified School District,2017,Coconino,5,T-9,6,6,Medium,Town,612,2,53.0%,50.2%,15.6%,15.9%,3.7%,4.9%,6.1%,0.8%,"$1,354","$1,102",Very High,47,53,Very High,$5.81,$5.20,High,239,263,Low,High,$4.05,$3.54,High,High,$2.47,$2.60,Low,"$1,310","$1,363",Comparable,Comparable,"$4,614","$4,541","$1,354","$1,102","$1,388","$1,289",$318,$396,$427,$488,$532,$632,$69,$346,"$8,702","$8,794",$55,$764,$314,$536,$0,$221,$55,$78,$424,"$1,599","$9,126","$10,393",34%,34%,35%,31%,60%,45%,93%,94%,88%,84%,29%,32%,10%,14%,14.6,16.4,"$40,988","$44,227","$4,635","$5,336",11.1,12.6,19%,17%,"$1,246","$3,999","$1,350","$4,066","$7,441","$4,210","$10,037","$12,275","$6,351","$5,929",$261,$243,$50,$49,"$1,288","$1,751",$301,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$628,20 of 29,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"11.1%, Increasing",Low,More than 3 years,Low,Compliant,Low
Wilson Elementary School District,2017,Maricopa,8,T-3,15,27,Medium,City,"1,108",2,56.8%,51.3%,10.9%,12.4%,5.3%,2.3%,7.0%,5.3%,"$1,312",$974,Very High,46,68,Very High,$8.73,$6.31,Very High,171,147,Very High,Very High,$2.52,$2.75,Low,Low,$5.12,$4.28,Very High,"$1,214","$1,207",Comparable,High,"$6,817","$4,164","$1,312",$974,"$1,494",$909,$634,$640,$284,$327,$837,$626,$634,$559,"$12,012","$8,199",$353,$924,$521,$582,$627,$255,$77,$146,"$1,578","$1,907","$13,590","$10,106",33%,25%,24%,22%,32%,37%,95%,94%,N/A,N/A,44%,44%,7%,10%,17.4,19.1,"$56,599","$52,696","$3,865","$4,542",13.8,10.3,14%,22%,"$3,370","$1,848","$3,387","$3,857","$7,175","$4,627","$13,932","$10,332","$5,332","$5,145",$236,$236,$46,$43,"$3,488","$1,915",$52,$54,"$1,685",4 of 19,$0,0 of 19,$0,0 of 19,"$2,060",19 of 19,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"6.1%, Varying",Low,More than 3 years,Low,Compliant,Low
Window Rock Unified School District,2017,Apache,5,T-7,7,7,Medium,Town,"1,792",5,48.9%,50.2%,9.9%,15.6%,4.5%,4.8%,10.6%,5.7%,"$1,562","$1,102",Very High,47,53,Very High,$7.48,$5.20,Very High,327,263,Very High,Very High,$3.19,$3.54,Low,Low,$4.39,$2.98,Very High,"$1,293",$921,Very High,Very High,"$7,665","$4,541","$1,562","$1,102","$2,446","$1,289",$707,$396,$749,$488,"$1,657",$632,$901,$346,"$15,687","$8,794",$818,$764,$532,$536,$244,$221,$27,$78,"$1,621","$1,599","$17,308","$10,393",12%,18%,17%,17%,22%,25%,90%,92%,71%,79%,40%,43%,11%,12%,12.6,15.3,"$60,441","$48,972","$3,920","$4,489",15.5,12.6,9%,16%,"$10,658","$3,999","$5,740","$4,066",$928,"$4,210","$17,326","$12,275","$5,730","$5,929",$241,$243,$48,$49,"$2,507","$1,751",$12,$138,$0,1 of 29,$0,0 of 29,"$8,151",14 of 29,$162,20 of 29,Moderate,Large decrease,High,No overspending,Low,No election held,No Measure,"4.3%, Varying",Low,Impact Aid Fund reserve,Low,Marginally compliant,Moderate
Winslow Unified School District,2017,Navajo,4,T-9,6,7,Medium-large,Town,"2,067",5,49.6%,52.0%,11.4%,13.9%,5.4%,6.1%,5.4%,8.2%,$981,$844,Very High,53,69,Very High,$6.13,$5.36,High,196,190,Comparable,High,$2.76,$3.00,Low,Low,$2.48,$2.60,Comparable,"$1,164","$1,363",Low,Low,"$4,279","$4,032",$981,$844,"$1,203",$987,$466,$409,$528,$414,$465,$607,$706,$481,"$8,628","$7,774",$49,$346,$319,$390,$26,$164,$7,$77,$401,$977,"$9,029","$8,751",32%,34%,22%,31%,38%,45%,94%,94%,90%,84%,37%,32%,12%,14%,17.5,16.4,"$44,436","$44,227","$5,826","$5,336",12.2,12.6,29%,17%,"$2,389","$2,260","$4,893","$4,086","$1,916","$3,104","$9,198","$9,450","$5,368","$5,373",$235,$233,$47,$46,"$1,310","$1,374",$8,$56,$0,1 of 18,$0,0 of 18,"$1,167",7 of 18,$734,14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"5%, Varying",Low,More than 3 years,Low,Compliant,Low
